ID	Population	Taxon	HWe	HW	IFW1	IFW2	HL1	HL2	ScL	EL	Om	WL	PL	PPL	GL	HFL	PrW	hw1	hw2	hw3	CI	FLI	SI	notch	EI	FLD	CEI
serico1	OPA_2	OPA	0.95	0.975	0.688	0.24	0.92	0.86	0.68	0.147	8	1.275	0.3	0.2	0.9	0.925	0.66	0.899	1.023	0.68	103.26	72.42	71.58	0.06	15.47	0.45	6.32
serico2	OPA_2	OPA	0.975	1	0.7	0.275	0.975	0.9	0.725	0.144	9	1.24	0.279	0.225	0.961	0.96	0.64	1	1.075	0.725	100	71.79	74.36	0.08	14.77	0.43	7.69
serico3	OPA_2	OPA	0.98	0.961	0.672	0.224	0.925	0.85	NA	0.136	9	1.209	0.279	0.217	1	0.944	0.64	0.93	1.023	0.68	105.95	68.57	NA	0.08	13.88	0.45	7.65
serico4	OPA_2	OPA	0.961	0.992	0.7	0.25	0.93	0.868	0.675	0.154	8	1.24	0.25	0.225	1	0.961	0.682	1	1.08	0.675	103.33	72.84	70.24	0.06	16.02	0.45	6.45
serico5	OPA_2	OPA	0.93	0.961	0.675	0.225	0.925	0.744	0.65	0.135	9	1.24	0.279	0.225	0.95	1	0.651	0.899	1.023	0.651	100.54	72.58	69.89	0.18	14.52	0.45	19.46
serico6	OPA_2	OPA	0.96	1	0.7	0.24	0.95	0.9	0.625	0.154	8	1.147	0.31	0.217	0.992	0.98	0.68	0.93	1.054	0.651	101.05	72.92	65.1	0.05	16.04	0.46	5.21
serico7	OPA_2	OPA	1	1	0.72	0.24	0.975	0.9	0.675	0.126	8	1.25	0.25	0.225	0.961	0.975	0.66	0.975	1.1	0.7	102.56	72	67.5	0.08	12.6	0.48	7.5
serico8	OPA_2	OPA	0.975	0.975	0.7	0.24	0.925	0.85	0.7	0.16	8	1.209	0.28	0.24	0.96	0.96	0.7	0.95	1.05	NA	105.41	71.79	71.79	0.08	16.41	0.46	7.69
serico9	OPA_2	OPA	0.961	0.992	0.704	0.24	0.95	0.875	0.651	0.15	9	1.3	NA	NA	NA	0.96	0.72	1	1.085	0.65	101.16	73.26	67.74	0.08	15.61	0.46	7.8
serico10	OPA_2	OPA	0.961	0.961	0.7	0.24	0.93	0.868	0.682	0.135	9	1.302	0.28	0.24	0.992	0.925	0.7	0.93	1.085	NA	103.33	72.84	70.97	0.06	14.05	0.46	6.45
serico11	OPA_1	OPA	0.96	1	0.72	0.224	0.95	0.875	0.7	0.152	NA	1.271	0.3	0.225	1	1.02	0.68	0.93	1.05	0.675	101.05	75	72.92	0.08	15.83	0.5	7.81
serico12	OPA_1	OPA	0.975	1	0.72	0.256	0.95	0.875	0.704	0.147	NA	1.209	0.325	NA	NA	1	0.651	0.961	1.085	0.713	102.63	73.85	72.21	0.08	15.08	0.46	7.69
serico13	OPA_1	OPA	0.925	0.975	0.725	0.24	0.92	0.84	0.64	0.152	NA	1.275	0.275	0.25	0.875	0.961	0.656	0.975	1.05	0.64	100.54	78.38	69.19	0.08	16.43	0.49	8.65
serico14	OPA_1	OPA	0.925	0.95	0.64	0.24	0.9	0.82	0.62	0.147	8	1.225	0.208	0.176	0.868	0.93	0.625	0.837	0.961	0.62	102.78	69.19	67.03	0.08	15.89	0.4	8.65
serico15	OPA_1	OPA	0.93	0.961	0.688	0.24	0.925	0.85	0.675	0.135	8	1.3	0.3	0.175	0.95	1	0.675	0.961	1.054	0.651	100.54	73.98	72.58	0.08	14.52	0.45	8.06
serico16	OPA_1	OPA	0.875	0.9	0.608	0.186	0.88	0.8	0.6	0.128	8	1.1	0.32	0.208	0.85	0.92	0.56	0.837	0.961	0.589	99.43	69.49	68.57	0.08	14.63	0.42	9.14
serico17	OPA_1	OPA	0.8	0.837	0.5875	0.1625	0.832	0.752	0.589	0.147	8	0.992	0.26	0.18	0.825	0.912	0.575	0.85	0.9	0.6	96.15	73.44	73.63	0.08	18.38	0.43	10
serico18	OPA_1	OPA	0.86	0.86	0.576	0.18	0.86	0.78	0.6	0.14	8	1.05	0.275	0.208	0.775	0.86	0.504	0.825	0.9	0.6	100	66.98	69.77	0.08	16.28	0.4	9.3
serico19	OPA_1	OPA	0.806	0.86	0.576	0.192	0.832	0.752	0.6	0.135	8	1.05	0.275	0.2	0.775	0.85	0.56	0.8	0.88	0.6	96.88	71.46	74.44	0.08	16.75	0.38	9.93
serico20	OPA_1	OPA	0.952	0.95	0.608	0.224	0.95	0.825	0.675	0.16	9	1.178	0.2625	0.224	0.93	0.96	0.592	0.95	1.075	0.65	100.21	63.87	70.9	0.13	16.81	0.38	13.13
serico21	OPA_1	OPA	0.8	0.84	0.558	0.16	0.832	0.768	0.6	0.126	NA	1.02	NA	0.22	0.78	0.84	NA	0.82	0.95	0.54	96.15	69.75	75	0.06	15.75	0.4	8
serico22	OPA_1	OPA	0.88	0.9	0.608	0.208	0.88	0.8	0.62	0.135	9	1.116	0.25	0.2	0.84	0.88	0.6	0.86	1	0.58	100	69.09	70.45	0.08	15.34	0.4	9.09
serico23	OPA_1	OPA	0.9	0.9	0.64	0.24	0.899	0.806	0.65	0.16	10	1.175	0.24	0.18	0.837	0.9	0.6	0.9	1	0.6	100.11	71.11	72.22	0.09	17.78	0.4	10.33
serico24	OPA_1	OPA	0.875	0.875	0.6	0.225	0.9	0.8	0.62	0.144	NA	1.15	0.24	0.2	0.86	0.86	0.589	0.86	0.961	0.592	97.22	68.57	70.86	0.1	16.46	0.38	11.43
serico25	OPA_1	OPA	0.82	0.82	0.5625	0.1875	0.86	0.8	0.589	0.128	8	1.075	0.22	0.2	0.78	0.875	0.527	0.806	0.975	0.56	95.35	68.6	71.83	0.06	15.61	0.38	7.32
serico26	OPA_1	OPA	0.92	0.96	0.66	0.24	0.96	0.84	0.68	0.144	9	1.209	0.24	0.24	0.9	0.95	0.6	0.88	1.04	0.64	95.83	71.74	NA	0.12	15.65	0.42	13.04
serico27	OPA_1	OPA	0.9	0.9	0.624	0.16	0.9	0.8	0.64	0.154	8	1.225	0.288	0.208	0.78	0.92	0.65	0.899	0.992	0.6	100	69.33	71.11	0.1	17.11	0.46	11.11
